id,text,label,event
536844329000906752,nice to see @user's scoop confirmed: swiss museum accepts gurlitt collection url by @user & @user,1,0
536844329000906752,"[""nice is open @ user ' tv scoop confirmed : swiss google accepts gurlitt the url for @ website & @ public""]",1,0
536847375802052609,"nearly 3 years of silence, transparency re hashtag_gurlitt, munich art trove. the agreement: url",1,0
536847375802052609,"['2017 20 years of silence, poetry and hash _ ness, munich art trove. munich agreement : a']",1,0
536831367959420929,swiss museum will accept gurlitt art trove - abc news url hashtag_entertainment,1,0
536831367959420929,['swiss taipei will be public art gallery - abc to url hashtag _ wikipedia'],1,0
536825153372831744,the kunstmuseum bern agrees to takes the controversial gurlitt art collection.,1,0
536825153372831744,['the musee berlin continues to takes the controversial national gallery collection.'],1,0
536827886926565376,bern fine arts museum says yes to controversial hashtag_gurlitt collection: url,1,0
536827886926565376,['toronto fine archives museum 2010 yes for your hashtag _ gurlitt collection : 2009'],1,0
536825222050365440,breaking: swiss art museum accepts artworks bequeathed by late art dealer gurlitt url,1,0
536825222050365440,['birmingham : fine art museum comprehensive collections owned by late art historian gurlitt url'],1,0
536825223526756352,swiss art museum accepts artworks bequeathed by late art dealer gurlitt url,1,0
536825223526756352,['swiss culture museum hosts artworks exclusively for late art dealer joseph url'],1,0
536837509167480832,"bern's museum of fine arts accepts gurlitt art collection, but only works that were not stolen by nazis url",1,0
536837509167480832,"[""3 ' h museum about fine industries accepts this art collection, possessing only pieces that were not stolen by hans url""]",1,0
536844209982959616,swiss museum will accept gurlitt art trove url,1,0
536844209982959616,['american historical museum accept gurlitt art space url'],1,0
536848241556721665,swiss museum accepts looted nazi art url  hashtag_historical painful memories 70 years later. hashtag_neverforget,1,0
536848241556721665,['french embassy accepts of french art shown in _ historical painful memories 300 years later. facebook _ neverforget'],1,0
536837309078200320,swiss museum accepts art from gurlitt url via @user,1,0
536837309078200320,['swiss government online identity from gurlitt url id @ user'],1,0
536836729190105089,swiss museum will accept gurlitt art trove: a swiss museum agreed on monday to accept a priceless collection o.. url,1,0
536836729190105089,['even museum will in gurlitt art gallery : a swiss museum rules on not to accept every complete photograph o.. or'],1,0
536830857403961345,"""a milestone in coming to terms with our history"", german culture minister monika grütters on decision to send hashtag_gurlitt collection to bern",1,0
536830857403961345,"['"" reached milestone with coming upon it with our message "", german facebook founder ulrich puts on decision to send hashtag _ gurlitt collection to portal']",1,0
536844860058529792,kunstmuseum bern obtains trove from gurlitt collection url,1,0
536844860058529792,['sam bern obtains trove og nordic kunst online'],1,0
536848134681690112,"summary of the hashtag_gurlitt agreement between kunstmuseum bern, state of bavaria and german government: url via @user",1,0
536848134681690112,"['summary by the art _ x link at kunstmuseum bern, province of bavaria and austrian government : url or @ id']",1,0
536842041586876416,hashtag_swiss museum accepts art trove with hashtag_nazi-looted works url  via @user hashtag_gurlitt,1,0
536842041586876416,['alt _ nazi open accepts the trove with hashtag _ nazi - friendly works... or @ alexa interface _ gurlitt'],1,0
536837810805039104,the kunstmuseum bern has officially accepted the hashtag_gurlitt art trove. more on @user news shortly.,1,0
536837810805039104,['das kunstmuseum hamburg has officially accepted the hashtag _ this copyright center. swiss on @ user portal site.'],1,0
536841860049043457,"gurlitt collection accepted by bern museum, provided art works were not stolen by nazis url",1,0
536841860049043457,"['generally also accepted by bern museum, provided that works are not seized by nazis...']",1,0
536825222608203776,breaking: swiss art museum accepts artworks bequeathed by late art dealer gurlitt url,1,0
536825222608203776,['berlin : european art collections accepts works bequeathed from late dutch dealer gurlitt url'],1,0
536845700835733504,[nytimes:  judaism] swiss museum accepts bequest of nazi-era art url,1,0
536845700835733504,['[ from : judaism ] swiss stock accepts bequest via victorian - era archives 2014'],1,0
536824745459998720,breaking news: kunstmuseum bern accepts cornelius gurlitt estate.,1,0
536824745459998720,['judgement day : mainland germany accepts cornelius s estate.'],1,0
536846436537999360,swiss museum [@user] accepts gurlitt's problematic bequest url via @user,1,0
536846436537999360,"[""swiss directory [ @ user ] accepts user ' s personal bequest from over @ home""]",1,0
535342545283588096,"exclusive: swiss museum close to accepting gurlitt bequest, returning any nazi-looted pieces url by @user via @user",1,0
535342545283588096,"['museums : swiss museum close to accepting gurlitt art, archive some nazi - looted art outside of @ archive via @ site']",1,0
535397927548878849,family claims hashtag_corneliusgurlitt was mentally unfit. read the news @user url url,1,0
535397927548878849,['family website the _ corneliusgurlitt was spontaneously generated. watch the list @ user... url'],1,0
